Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
e,29/11/2021 09:25:08,1,0,2,Room1
u,29/11/2021 09:25:22,1,0,4,Room1
i,29/11/2021 09:25:32,1,0,1,Room1
e,29/11/2021 09:25:42,1,0,1,Room1
a,29/11/2021 09:25:54,1,0,2,Room1
u,29/11/2021 09:26:07,1,0,3,Room1
o,29/11/2021 09:26:19,1,0,1,Room1
e,29/11/2021 09:26:29,1,0,1,Room1
u,29/11/2021 09:26:40,1,0,1,Room1
ku,29/11/2021 09:27:42,1,0,7,Room2
ko,29/11/2021 09:27:52,1,0,1,Room2
ku,29/11/2021 09:28:02,1,0,1,Room2
ka,29/11/2021 09:28:13,1,0,1,Room2
ki,29/11/2021 09:28:23,1,0,1,Room2
ko,29/11/2021 09:28:33,1,0,1,Room2
ka,29/11/2021 09:28:42,1,0,1,Room2
ko,29/11/2021 09:28:53,1,0,1,Room2
ku,29/11/2021 09:29:03,1,0,2,Room2
ko,29/11/2021 09:29:14,1,0,1,Room2
ki,29/11/2021 09:29:25,1,0,1,Room2
ko,29/11/2021 09:29:34,1,0,1,Room2
ka,29/11/2021 09:29:45,1,0,1,Room2
ku,29/11/2021 09:29:56,1,0,2,Room2
ka,29/11/2021 09:30:07,1,0,1,Room2
ki,29/11/2021 09:30:17,1,0,1,Room2
su,29/11/2021 09:31:27,1,0,4,Room3
shi,29/11/2021 09:31:38,1,0,1,Room3
se,29/11/2021 09:31:49,1,0,2,Room3
sa,29/11/2021 09:32:00,1,0,2,Room3
so,29/11/2021 09:32:10,1,0,1,Room3
te,29/11/2021 09:33:20,1,0,6,Room4
to,29/11/2021 09:33:31,1,0,1,Room4
ta,29/11/2021 09:33:42,1,0,1,Room4
te,29/11/2021 09:33:53,1,0,1,Room4
to,29/11/2021 09:34:03,1,0,1,Room4
tsu,29/11/2021 09:34:14,1,0,2,Room4
no,29/11/2021 09:35:34,1,0,1,Room5
nu,29/11/2021 09:35:51,1,0,2,Room5
na,29/11/2021 09:36:02,1,0,2,Room5
ne,29/11/2021 09:36:14,1,0,2,Room5
ni,29/11/2021 09:36:25,1,0,1,Room5
no,29/11/2021 09:36:35,1,0,1,Room5
na,29/11/2021 09:36:45,1,0,1,Room5
nu,29/11/2021 09:36:57,1,0,2,Room5
na,29/11/2021 09:37:07,1,0,1,Room5
ni,29/11/2021 09:37:17,1,0,1,Room5
ne,29/11/2021 09:37:30,0,1,2,Room5
na,29/11/2021 09:37:44,1,0,1,Room5
no,29/11/2021 09:37:54,1,0,1,Room5
ha,29/11/2021 09:39:05,1,0,2,Room6
ho,29/11/2021 09:39:15,1,0,1,Room6
fu,29/11/2021 09:39:26,1,0,1,Room6
ha,29/11/2021 09:39:36,1,0,1,Room6
ho,29/11/2021 09:39:45,1,0,1,Room6
fu,29/11/2021 09:39:56,1,0,1,Room6
he,29/11/2021 09:40:08,1,0,1,Room6
ho,29/11/2021 09:40:19,1,0,1,Room6
he,29/11/2021 09:40:29,1,0,1,Room6
mi,29/11/2021 09:41:37,1,0,1,Room7
mu,29/11/2021 09:41:50,1,0,3,Room7
ma,29/11/2021 09:42:01,1,0,1,Room7
me,29/11/2021 09:42:11,1,0,1,Room7
mo,29/11/2021 09:42:24,1,0,2,Room7
yo,29/11/2021 09:43:09,1,0,2,Room8
ya,29/11/2021 09:43:20,1,0,1,Room8
yu,29/11/2021 09:43:31,1,0,1,Room8
yo,29/11/2021 09:43:41,1,0,1,Room8
ya,29/11/2021 09:43:52,1,0,1,Room8
yo,29/11/2021 09:44:02,1,0,1,Room8
ya,29/11/2021 09:44:12,1,0,1,Room8
yo,29/11/2021 09:44:23,1,0,1,Room8
ya,29/11/2021 09:44:33,1,0,1,Room8
yu,29/11/2021 09:44:44,1,0,1,Room8
ya,29/11/2021 09:44:53,1,0,1,Room8
yo,29/11/2021 09:45:05,1,0,1,Room8
yu,29/11/2021 09:45:16,1,0,1,Room8
ri,29/11/2021 09:46:38,1,0,1,Room9
ru,29/11/2021 09:46:49,1,0,2,Room9
ra,29/11/2021 09:47:00,1,0,1,Room9
ri,29/11/2021 09:47:10,1,0,1,Room9
ra,29/11/2021 09:47:21,1,0,1,Room9
n,29/11/2021 09:47:56,1,0,1,Room10
wa,29/11/2021 09:48:06,1,0,1,Room10
n,29/11/2021 09:48:16,1,0,1,Room10
wo,29/11/2021 09:48:26,1,0,1,Room10
n,29/11/2021 09:48:36,1,0,1,Room10
wa,29/11/2021 09:48:47,1,0,1,Room10
wo,29/11/2021 09:48:58,1,0,1,Room10
wa,29/11/2021 09:49:09,1,0,1,Room10
wo,29/11/2021 09:49:20,1,0,1,Room10
wa,29/11/2021 09:49:31,1,0,1,Room10
a,29/11/2021 09:50:48,1,0,1,Room11
o,29/11/2021 09:50:58,1,0,1,Room11
ka,29/11/2021 09:51:08,1,0,1,Room11
ko,29/11/2021 09:51:18,1,0,1,Room11
o,29/11/2021 09:51:31,0,1,2,Room11
ke,29/11/2021 09:51:44,1,0,2,Room11
ki,29/11/2021 09:51:55,1,0,1,Room11
ka,29/11/2021 09:52:05,1,0,1,Room11
e,29/11/2021 09:52:14,1,0,1,Room11
ke,29/11/2021 09:52:26,1,0,2,Room11
ku,29/11/2021 09:52:36,1,0,1,Room11
ke,29/11/2021 09:52:46,1,0,1,Room11
ko,29/11/2021 09:52:58,1,0,1,Room11
o,29/11/2021 09:53:09,1,0,2,Room11
ki,29/11/2021 09:53:19,1,0,1,Room11
i,29/11/2021 09:53:29,1,0,1,Room11
a,29/11/2021 09:53:41,1,0,2,Room11
ku,29/11/2021 09:53:52,1,0,2,Room11
ke,29/11/2021 09:54:02,1,0,1,Room11
ka,29/11/2021 09:54:13,1,0,1,Room11
ta,29/11/2021 09:55:23,1,0,1,Room12
chi,29/11/2021 09:55:35,1,0,2,Room12
sa,29/11/2021 09:55:46,1,0,1,Room12
to,29/11/2021 09:55:56,1,0,1,Room12
so,29/11/2021 09:56:07,1,0,1,Room12
tsu,29/11/2021 09:56:17,1,0,1,Room12
shi,29/11/2021 09:56:27,1,0,1,Room12
te,29/11/2021 09:56:41,1,0,3,Room12
shi,29/11/2021 09:56:51,1,0,1,Room12
te,29/11/2021 09:57:03,1,0,2,Room12
su,29/11/2021 09:57:14,1,0,1,Room12
he,29/11/2021 09:58:12,1,0,1,Room13
no,29/11/2021 09:58:24,1,0,1,Room13
he,29/11/2021 09:58:35,1,0,1,Room13
hi,29/11/2021 09:58:45,1,0,1,Room13
no,29/11/2021 09:58:56,1,0,1,Room13
hi,29/11/2021 09:59:06,1,0,1,Room13
ne,29/11/2021 09:59:18,1,0,1,Room13
hi,29/11/2021 09:59:30,1,0,2,Room13
ho,29/11/2021 09:59:41,1,0,1,Room13
he,29/11/2021 09:59:53,1,0,1,Room13
no,29/11/2021 10:00:03,1,0,2,Room13
ho,29/11/2021 10:00:14,1,0,1,Room13
nu,29/11/2021 10:00:27,1,0,4,Room13
mi,29/11/2021 10:01:17,1,0,2,Room14
ya,29/11/2021 10:01:28,1,0,1,Room14
yu,29/11/2021 10:01:41,1,0,2,Room14
ma,29/11/2021 10:01:51,1,0,1,Room14
mu,29/11/2021 10:02:03,1,0,3,Room14
yo,29/11/2021 10:02:14,1,0,1,Room14
me,29/11/2021 10:02:25,1,0,2,Room14
yu,29/11/2021 10:02:37,1,0,1,Room14
mu,29/11/2021 10:02:50,1,0,2,Room14
yu,29/11/2021 10:03:01,1,0,1,Room14
mo,29/11/2021 10:03:16,1,0,6,Room14
ma,29/11/2021 10:03:26,1,0,1,Room14
ya,29/11/2021 10:03:37,1,0,2,Room14
ru,29/11/2021 10:04:30,1,0,1,Room15
ra,29/11/2021 10:04:41,1,0,1,Room15
ri,29/11/2021 10:04:52,1,0,1,Room15
ro,29/11/2021 10:05:03,1,0,1,Room15
ru,29/11/2021 10:05:15,1,0,2,Room15
wo,29/11/2021 10:05:26,1,0,2,Room15
ra,29/11/2021 10:05:37,1,0,1,Room15
re,29/11/2021 10:05:47,1,0,1,Room15
wo,29/11/2021 10:05:59,1,0,2,Room15
ru,29/11/2021 10:06:11,1,0,2,Room15
re,29/11/2021 10:06:21,1,0,1,Room15
n,29/11/2021 10:06:31,1,0,1,Room15
re,29/11/2021 10:06:42,1,0,1,Room15
ra,29/11/2021 10:06:53,1,0,1,Room15
ro,29/11/2021 10:07:04,1,0,3,Room15
re,29/11/2021 10:07:14,1,0,1,Room15
ru,29/11/2021 10:07:26,1,0,2,Room15
wa,29/11/2021 10:07:37,1,0,1,Room15
ru,29/11/2021 10:07:47,1,0,1,Room15
re,29/11/2021 10:07:59,1,0,1,Room15

